event_count,avg_time_delta,max_time_delta,min_time_delta,std_time_delta,unique_processes,total_processes,process_entropy,unique_commands,total_commands,avg_command_length,max_command_length,min_command_length,cmd_entropy,suspicious_patterns,contains_sudo,contains_pipe,contains_redirect,command_complexity_score,suspicion_intensity,entropy_variance,process_concentration,command_concentration,attack_vector_score,label
12,63.27272727272727,110.0,19.0,29.939608636207254,4,12,1.9591479164501666,8,12,22.083333333333332,49,2,2.8553885410533777,3,0.0,0.0,0.0,1.2611299389652417,0.23076923076923078,0.8962406246032111,0.2,0.1111111111111111,0.26119658119658123,0
12,112.0909090909091,296.0,10.0,96.24443742646734,7,12,2.5849624997112697,12,12,7.666666666666667,16,2,3.5849624989899223,1,0.0,0.0,0.0,1.6167477936621217,0.07692307692307693,0.9999999992786526,0.125,0.07692307692307693,0.2105769230769231,1
23,55.77272727272727,118.0,15.0,34.56999726271036,4,23,1.985277589931944,8,23,7.3478260869565215,30,2,2.8555389993984965,12,1.0,0.0,1.0,0.6768388371645805,0.5,0.8702614094665526,0.2,0.1111111111111111,0.7688888888888891,0
4,115.33333333333333,200.0,42.0,64.9991452935259,3,4,1.4999999995671913,4,4,8.0,10,5,1.9999999994229218,1,0.0,0.0,0.0,1.4545454541257614,0.2,0.4999999998557305,0.25,0.2,0.23500000000000004,1
7,134.16666666666666,265.0,2.0,103.22534680117195,4,7,1.8423709926000305,7,7,9.714285714285714,19,4,2.8073549210477173,0,0.0,0.0,0.0,1.3635723902231769,0.0,0.9649839284476869,0.2,0.125,0.16750000000000004,1
6,50.2,108.0,8.0,43.425338225510686,3,6,1.459147916594436,4,6,30.166666666666668,49,3,1.7924812497835,3,0.0,0.0,0.0,1.0814636873693786,0.42857142857142855,0.333333333189064,0.25,0.2,0.32642857142857146,0
29,52.142857142857146,117.0,0.0,35.14227641796608,4,29,1.8933544962388702,11,29,8.551724137931034,30,2,2.996802771091053,21,1.0,0.0,1.0,0.8267042127147732,0.7,1.1034482748521828,0.2,0.08333333333333333,0.8516666666666667,0
11,59.8,120.0,1.0,41.583169672356625,3,11,1.24067053124388,7,11,29.0,63,2,2.7321588903546834,4,0.0,1.0,1.0,1.238009497191966,0.3333333333333333,1.4914883591108035,0.25,0.125,0.6958333333333334,0
32,55.193548387096776,115.0,2.0,35.01743285190936,4,32,1.9192789738607006,12,32,5.625,15,2,3.3273191409146894,3,0.0,0.0,0.0,1.1697606354778205,0.09090909090909091,1.4080401670539888,0.2,0.07692307692307693,0.2086713286713287,0
32,53.03225806451613,119.0,4.0,34.11411955430861,4,32,1.8496017521375032,13,32,7.25,15,2,3.38981914077042,10,0.0,0.0,0.0,1.5360117981615966,0.30303030303030304,1.5402173886329167,0.2,0.07142857142857142,0.2940692640692641,0
12,168.0,276.0,4.0,95.95074494002354,10,12,3.2516291659451277,12,12,9.75,18,3,3.5849624989899223,2,0.0,0.0,0.0,1.8396518086921971,0.15384615384615385,0.3333333330447945,0.09090909090909091,0.07692307692307693,0.24475524475524477,1
12,128.36363636363637,267.0,5.0,81.3904983590867,9,12,2.9182958327560637,12,12,9.583333333333334,16,2,3.5849624989899223,0,0.0,0.0,0.0,2.0209347420776522,0.0,0.6666666662338585,0.1,0.07692307692307693,0.18230769230769234,1
18,52.1764705882353,108.0,4.0,35.708353437120444,4,18,1.81634011327633,8,18,6.222222222222222,11,2,2.705229001588141,3,0.0,0.0,0.0,1.4027113341568136,0.15789473684210525,0.8888888883118109,0.2,0.1111111111111111,0.232046783625731,0
32,59.903225806451616,120.0,3.0,36.28592088000939,4,32,1.9620310224310333,8,32,49.03125,78,3,2.7290301718753094,15,0.0,1.0,0.0,1.6937691217058388,0.45454545454545453,0.766999149444276,0.2,0.1111111111111111,0.5507070707070707,0
22,176.1904761904762,299.0,3.0,96.7892256142766,14,22,3.533771254044784,22,22,9.545454545454545,16,2,4.459431615463368,1,0.0,0.0,0.0,2.503958928468736,0.043478260869565216,0.9256603614185837,0.06666666666666667,0.043478260869565216,0.2063768115942029,1
4,53.333333333333336,76.0,11.0,29.95923155816176,4,4,1.9999999994229218,4,4,8.25,13,3,1.9999999994229218,0,0.0,0.0,0.0,1.1785714282313646,0.0,0.0,0.2,0.2,0.16000000000000003,1
7,67.5,109.0,29.0,30.225541075939955,4,7,1.8423709926000305,4,7,47.714285714285715,78,2,1.9502120643376688,2,0.0,1.0,0.0,1.1778857676108163,0.25,0.10784107173763835,0.2,0.2,0.4600000000000001,0
7,27.833333333333332,49.0,3.0,14.780805871880675,3,7,1.378783493053367,7,7,5.285714285714286,15,2,2.8073549210477173,1,0.0,0.0,0.0,0.9274297507032637,0.125,1.4285714279943504,0.25,0.125,0.21250000000000002,0
5,39.5,77.0,15.0,24.387496796514398,2,5,0.7219280945988233,4,5,16.6,27,2,1.9219280943102843,0,0.0,0.0,0.0,1.1394287987696685,0.0,1.199999999711461,0.3333333333333333,0.2,0.1466666666666667,0
26,60.04,113.0,2.0,36.83094351221538,4,26,1.8843135272227207,8,26,23.03846153846154,36,2,2.7036648338756426,10,0.0,0.0,1.0,1.6834669807604055,0.37037037037037035,0.8193513066529219,0.2,0.1111111111111111,0.5170370370370371,0
21,71.75,118.0,8.0,28.797352308849508,4,21,1.7723388503610216,10,21,31.666666666666668,63,2,3.0649696603395307,11,0.0,1.0,1.0,1.5165214465221637,0.5,1.292630809978509,0.2,0.09090909090909091,0.7709090909090911,0
17,59.625,112.0,0.0,34.66604065941191,4,17,1.9328045769620448,7,17,22.647058823529413,49,2,2.469240781162398,4,0.0,0.0,0.0,1.118420824408851,0.2222222222222222,0.5364362042003532,0.2,0.125,0.25638888888888894,0
11,129.9,221.0,40.0,54.67805775628831,8,11,2.9139770720285956,11,11,8.272727272727273,12,4,3.459431617050333,1,0.0,0.0,0.0,2.201456483577485,0.08333333333333333,0.5454545450217374,0.1111111111111111,0.08333333333333333,0.2138888888888889,1
14,71.84615384615384,112.0,13.0,32.27965816673012,4,14,1.9852281354571732,8,14,18.428571428571427,49,2,2.896291527891772,2,0.0,0.0,0.0,1.0674903059943959,0.13333333333333333,0.9110633924345986,0.2,0.1111111111111111,0.22222222222222227,0
23,164.1818181818182,278.0,2.0,72.89010181189734,13,23,3.464234650851062,22,23,7.913043478260869,19,2,4.436605431143953,4,0.0,0.0,0.0,1.7553525836265205,0.16666666666666666,0.9723707802928905,0.07142857142857142,0.043478260869565216,0.255175983436853,1
19,57.27777777777778,106.0,0.0,31.56088570006931,4,19,1.9937737537449056,7,19,43.1578947368421,78,3,2.6358648554289257,6,0.0,1.0,0.0,1.4399794679891533,0.3,0.6420911016840201,0.2,0.125,0.48750000000000004,0
16,127.2,273.0,12.0,87.62967533889419,12,16,3.4528195293835493,15,16,8.875,12,4,3.8749999978359577,2,0.0,0.0,0.0,2.6454326908303174,0.11764705882352941,0.4221804684524084,0.07692307692307693,0.0625,0.23311651583710408,1
12,141.8181818181818,274.0,15.0,85.1776946707381,11,12,3.418295832467525,12,12,7.916666666666667,13,3,3.5849624989899223,1,0.0,0.0,0.0,2.027210936928825,0.07692307692307693,0.16666666652239703,0.08333333333333333,0.07692307692307693,0.21474358974358976,1
14,118.46153846153847,284.0,31.0,77.52380813919274,13,14,3.664497777324958,14,14,6.857142857142857,13,2,3.8073549200378314,0,0.0,0.0,0.0,1.8648268996103663,0.0,0.1428571427128733,0.07142857142857142,0.06666666666666667,0.18619047619047618,1
